RegionID,Year,Home_value
394998,1999,274921
394998,1999,274536
394998,1999,273476
394998,1999,272487
394998,1999,271348
394998,1999,270758
394998,1999,270249
394998,1999,269715
394998,1999,269043
394998,1999,268329
394998,1999,268017
394998,1999,267872
394998,1998,267897
394998,1998,267376
394998,1998,266953
394998,1998,266247
394998,1998,265582
394998,1998,264528
394998,1998,263680
394998,1998,263079
394998,1998,262824
394998,1998,262601
394998,1998,261727
394998,1998,260769
394998,1997,259744
394998,1997,259353
394998,1997,258691
394998,1997,257968
394998,1997,257104
394998,1997,256425
394998,1997,255407
394998,1997,253977
394998,1997,252047
394998,1997,250160
394998,1997,248528
394998,1997,246892
394998,1996,245068
394998,1996,242958
394998,1996,241049
394998,1996,239238
394998,1996,237475
394998,1996,235602
394998,1996,233800
394998,1996,232122
394998,1996,230610
394998,1996,229022
394998,1996,228245
394998,1996,227328
29878,2021,200231
29878,2020,198276
29878,2020,196729
29878,2020,194655
29878,2020,197474
29878,2020,184962
29878,2020,191846
29878,2020,184327
29878,2020,181867
29878,2020,182189
29878,2020,181053
29878,2020,179928
29878,2020,178583
29878,2019,177174
29878,2019,175507
29878,2019,174360
29878,2019,173692
29878,2019,173264
29878,2019,172610
29878,2019,171494
29878,2019,170264
29878,2019,169503
29878,2019,169548
29878,2019,169349
29878,2019,169873
29878,2018,170016
29878,2018,170584
29878,2018,169782
29878,2018,168054
29878,2018,166034
29878,2018,164187
29878,2018,162306
29878,2018,160980
29878,2018,159813
29878,2018,158928
29878,2018,158046
29878,2018,156097
29878,2017,154566
29878,2017,152667
29878,2017,151973
29878,2017,151351
29878,2017,150700
29878,2017,149576
29878,2017,148548
29878,2017,147382
29878,2017,146354
29878,2017,145099
29878,2017,144351
29878,2017,144269
29878,2016,144483
29878,2016,144807
29878,2016,144234
29878,2016,144260
29878,2016,144153
29878,2016,144883
29878,2016,145179
29878,2016,144508
29878,2016,143023
29878,2016,141457
29878,2016,140363
29878,2016,139757
29878,2015,139102
29878,2015,138268
29878,2015,137627
29878,2015,136741
29878,2015,136193
29878,2015,135422
29878,2015,134517
29878,2015,134146
29878,2015,134254
29878,2015,134784
29878,2015,135407
29878,2015,135332
29878,2014,135041
29878,2014,134542
29878,2014,134574
29878,2014,134122
29878,2014,133741
29878,2014,133656
29878,2014,134518
29878,2014,135232
29878,2014,135008
29878,2014,134329
29878,2014,133075
29878,2014,132234
29878,2013,131173
29878,2013,130778
29878,2013,130305
29878,2013,130597
29878,2013,129701
29878,2013,128945
29878,2013,127534
29878,2013,126976
29878,2013,126254
29878,2013,125666
29878,2013,124821
29878,2013,124217
29878,2012,123717
29878,2012,122281
29878,2012,121284
29878,2012,120080
29878,2012,121369
29878,2012,121383
29878,2012,121702
29878,2012,121502
29878,2012,122780
29878,2012,124080
29878,2012,124959
29878,2012,125268
29878,2011,126113
29878,2011,128534
29878,2011,129205
29878,2011,129825
29878,2011,128867
29878,2011,129925
29878,2011,131136
29878,2011,131806
29878,2011,132821
29878,2011,133314
29878,2011,135558
29878,2011,137245
29878,2010,138852
29878,2010,139970
29878,2010,143164
29878,2010,146661
29878,2010,148965
29878,2010,148995
29878,2010,148331
29878,2010,148940
29878,2010,148613
29878,2010,149464
29878,2010,148900
29878,2010,150036
29878,2009,150949
29878,2009,151722
29878,2009,151717
29878,2009,150962
29878,2009,151218
29878,2009,152499
29878,2009,154103
29878,2009,155196
29878,2009,156123
29878,2009,157089
29878,2009,157911
29878,2009,158466
29878,2008,158618
29878,2008,158290
29878,2008,157419
29878,2008,157161
29878,2008,158033
29878,2008,158550
29878,2008,158826
29878,2008,157811
29878,2008,157053
29878,2008,155908
29878,2008,155549
29878,2008,154820
29878,2007,154656
29878,2007,155203
29878,2007,156404
29878,2007,157565
29878,2007,157628
29878,2007,157278
29878,2007,156730
29878,2007,157541
29878,2007,158681
29878,2007,159063
29878,2007,158642
29878,2007,157336
29878,2006,155692
29878,2006,153458
29878,2006,151633
29878,2006,149407
29878,2006,147399
29878,2006,146304
29878,2006,146164
29878,2006,145714
29878,2006,145204
29878,2006,144036
29878,2006,142908
29878,2006,140928
29878,2005,139684
29878,2005,139245
29878,2005,138895
29878,2005,139175
29878,2005,139111
29878,2005,138659
29878,2005,137516
